return_id,original_order_id,return_date,return_month,customer_id,employee_id,product_id,region,province,return_quantity,unit_price,return_amount,return_reason,status
RET000022,ORD0021557,2024-02-07,2,CUS00720,EMP1031,PRD0032,Miền Bắc,Nam Định,25,18000,450000,Hàng lỗi,Đã xử lý
RET000023,ORD0031124,2024-12-19,12,CUS01442,EMP1079,PRD0081,Miền Nam,Cần Thơ,27,30000,810000,Không đúng đơn hàng,Đã xử lý
RET000024,ORD0046286,2024-10-20,10,CUS00862,EMP1041,PRD0013,Miền Trung,Quảng Nam,5,40000,200000,Hàng hết hạn,Đã xử lý
RET000025,ORD0017934,2024-08-01,8,CUS01844,EMP1030,PRD0007,Miền Bắc,Quảng Ninh,22,50000,1100000,Hàng hết hạn,Đã xử lý
RET000026,ORD0014682,2024-02-20,2,CUS01815,EMP1014,PRD0003,Miền Bắc,Hải Phòng,40,15000,600000,Khách từ chối nhận,Đã xử lý
RET000027,ORD0027395,2024-03-03,3,CUS01905,EMP1019,PRD0030,Miền Bắc,Hưng Yên,8,8500,68000,Sai sản phẩm,Đã xử lý
RET000028,ORD0037510,2024-04-07,4,CUS01992,EMP1010,PRD0038,Miền Bắc,Hải Phòng,15,10000,150000,Hàng vỡ vận chuyển,Từ chối
RET000029,ORD0033401,2024-07-23,7,CUS01755,EMP1038,PRD0064,Miền Trung,Nghệ An,5,20000,100000,Hàng lỗi,Đã xử lý
RET000030,ORD0056146,2024-04-25,4,CUS01091,EMP1010,PRD0094,Miền Bắc,Hải Dương,20,35000,700000,Sai sản phẩm,Đã xử lý
RET000031,ORD0033557,2024-12-08,12,CUS00817,EMP1042,PRD0032,Miền Trung,Quảng Nam,15,18000,270000,Khách từ chối nhận,Đã xử lý
RET000032,ORD0011965,2024-05-17,5,CUS00396,EMP1021,PRD0011,Miền Bắc,Thái Bình,13,25000,325000,Hàng lỗi,Đã xử lý
RET000033,ORD0029322,2024-09-16,9,CUS01979,EMP1049,PRD0065,Miền Trung,Bình Định,26,20000,520000,Không đúng đơn hàng,Đang xử lý
RET000034,ORD0036884,2024-10-16,10,CUS00189,EMP1013,PRD0038,Miền Bắc,Thái Bình,11,10000,110000,Sai sản phẩm,Đã xử lý
RET000035,ORD0027495,2024-09-20,9,CUS01825,EMP1090,PRD0008,Miền Nam,Đồng Nai,29,18000,522000,Hàng vỡ vận chuyển,Đã xử lý
RET000036,ORD0029982,2024-04-09,4,CUS00370,EMP1035,PRD0067,Miền Trung,Khánh Hòa,20,20000,400000,Hàng lỗi,Đã xử lý
RET000037,ORD0010384,2024-04-14,4,CUS01547,EMP1081,PRD0008,Miền Nam,Đồng Nai,16,18000,288000,Sai sản phẩm,Đã xử lý
RET000038,ORD0025118,2024-09-02,9,CUS00276,EMP1041,PRD0009,Miền Trung,Quảng Nam,4,35000,140000,Hàng lỗi,Đã xử lý
RET000039,ORD0028562,2024-06-24,6,CUS00381,EMP1032,PRD0082,Miền Bắc,Nam Định,8,12000,96000,Không đúng đơn hàng,Đã xử lý
RET000040,ORD0059764,2024-06-03,6,CUS01140,EMP1039,PRD0063,Miền Trung,Khánh Hòa,5,9000,45000,Không đúng đơn hàng,Đã xử lý
RET000041,ORD0037212,2024-11-08,11,CUS00573,EMP1041,PRD0027,Miền Trung,Huế,40,35000,1400000,Hàng vỡ vận chuyển,Đã xử lý
RET000042,ORD0022280,2024-09-04,9,CUS00149,EMP1050,PRD0069,Miền Trung,Huế,9,40000,360000,Khách từ chối nhận,Từ chối
RET000043,ORD0032412,2024-11-25,11,CUS00332,EMP1006,PRD0091,Miền Bắc,Nam Định,15,12000,180000,Hàng vỡ vận chuyển,Đã xử lý
RET000044,ORD0012416,2024-05-25,5,CUS01643,EMP1044,PRD0031,Miền Trung,Nghệ An,27,35000,945000,Hàng hết hạn,Đã xử lý
RET000045,ORD0036508,2024-12-18,12,CUS01304,EMP1030,PRD0009,Miền Bắc,Hải Dương,8,35000,280000,Hàng vỡ vận chuyển,Đã xử lý
RET000046,ORD0052015,2024-06-30,6,CUS01806,EMP1015,PRD0043,Miền Bắc,Quảng Ninh,2,40000,80000,Không đúng đơn hàng,Đã xử lý
RET000047,ORD0051005,2024-07-27,7,CUS01408,EMP1041,PRD0035,Miền Trung,Bình Định,11,18000,198000,Hàng lỗi,Đã xử lý
RET000048,ORD0048962,2024-07-30,7,CUS01177,EMP1007,PRD0066,Miền Bắc,Hải Dương,4,18000,72000,Hàng hết hạn,Đã xử lý
RET000049,ORD0033136,2024-07-15,7,CUS01194,EMP1076,PRD0010,Miền Nam,Long An,8,30000,240000,Hàng lỗi,Đang xử lý
RET000050,ORD0030648,2024-09-22,9,CUS00574,EMP1044,PRD0076,Miền Trung,Nghệ An,16,9000,144000,Không đúng đơn hàng,Đã xử lý
RET000051,ORD0027544,2024-06-25,6,CUS00737,EMP1008,PRD0049,Miền Bắc,Hải Phòng,16,8500,136000,Sai sản phẩm,Đã xử lý
RET000052,ORD0015167,2024-03-17,3,CUS01424,EMP1045,PRD0035,Miền Trung,Quảng Ngãi,10,18000,180000,Khách từ chối nhận,Đã xử lý
RET000053,ORD0048550,2024-03-26,3,CUS00573,EMP1041,PRD0050,Miền Trung,Huế,3,9000,27000,Hàng lỗi,Đang xử lý
RET000054,ORD0022419,2024-11-28,11,CUS00629,EMP1061,PRD0009,Miền Nam,Bình Dương,45,35000,1575000,Hàng vỡ vận chuyển,Đã xử lý
RET000055,ORD0021110,2024-08-25,8,CUS00573,EMP1041,PRD0046,Miền Trung,Huế,3,35000,105000,Khách từ chối nhận,Đã xử lý
RET000056,ORD0037872,2024-12-31,12,CUS00804,EMP1038,PRD0063,Miền Trung,Quảng Ngãi,18,9000,162000,Khách từ chối nhận,Đã xử lý
RET000057,ORD0057289,2024-01-28,1,CUS00810,EMP1049,PRD0038,Miền Trung,Quảng Nam,10,10000,100000,Khách từ chối nhận,Đã xử lý
RET000058,ORD0050325,2024-05-18,5,CUS00503,EMP1045,PRD0032,Miền Trung,Đà Nẵng,19,18000,342000,Hàng lỗi,Đã xử lý
RET000059,ORD0058035,2024-04-14,4,CUS00110,EMP1042,PRD0004,Miền Trung,Huế,3,25000,75000,Khách từ chối nhận,Đã xử lý
RET000060,ORD0056692,2024-12-31,12,CUS01148,EMP1053,PRD0050,Miền Nam,Bình Dương,25,9000,225000,Hàng hết hạn,Đang xử lý
RET000061,ORD0019399,2024-11-24,11,CUS01092,EMP1043,PRD0005,Miền Trung,Đà Nẵng,10,50000,500000,Hàng vỡ vận chuyển,Đã xử lý
RET000062,ORD0026506,2024-12-31,12,CUS00476,EMP1040,PRD0044,Miền Trung,Khánh Hòa,2,25000,50000,Hàng hết hạn,Đang xử lý
RET000063,ORD0021077,2024-07-13,7,CUS00573,EMP1041,PRD0061,Miền Trung,Huế,6,9000,54000,Sai sản phẩm,Đã xử lý
RET000064,ORD0031971,2024-11-08,11,CUS00513,EMP1040,PRD0020,Miền Trung,Khánh Hòa,23,20000,460000,Hàng lỗi,Đang xử lý
RET000065,ORD0030370,2024-02-22,2,CUS00683,EMP1005,PRD0097,Miền Bắc,Bắc Ninh,45,8500,382500,Khách từ chối nhận,Từ chối
RET000066,ORD0014622,2024-12-13,12,CUS01548,EMP1044,PRD0065,Miền Trung,Quảng Nam,16,20000,320000,Không đúng đơn hàng,Đã xử lý
RET000067,ORD0029383,2024-12-31,12,CUS01651,EMP1005,PRD0019,Miền Bắc,Bắc Ninh,3,35000,105000,Hàng lỗi,Đã xử lý
RET000068,ORD0046037,2024-12-07,12,CUS00761,EMP1111,PRD0040,Miền Nam,Bình Phước,2,18000,36000,Hàng lỗi,Đã xử lý
RET000069,ORD0019912,2024-06-01,6,CUS00573,EMP1041,PRD0024,Miền Trung,Huế,15,40000,600000,Hàng lỗi,Đã xử lý
RET000070,ORD0051546,2024-07-02,7,CUS00166,EMP1039,PRD0043,Miền Trung,Đà Nẵng,1,40000,40000,Không đúng đơn hàng,Từ chối
RET000071,ORD0011197,2024-07-15,7,CUS01905,EMP1019,PRD0055,Miền Bắc,Hưng Yên,10,8500,85000,Khách từ chối nhận,Đã xử lý
RET000072,ORD0027083,2024-05-24,5,CUS00392,EMP1035,PRD0079,Miền Trung,Đà Nẵng,12,25000,300000,Hàng vỡ vận chuyển,Đã xử lý
RET000073,ORD0020247,2024-07-31,7,CUS00912,EMP1057,PRD0034,Miền Nam,Vũng Tàu,41,8500,348500,Sai sản phẩm,Đã xử lý
RET000074,ORD0054311,2024-09-03,9,CUS00573,EMP1041,PRD0085,Miền Trung,Huế,4,9000,36000,Hàng lỗi,Đã xử lý
RET000075,ORD0022392,2024-12-23,12,CUS01397,EMP1032,PRD0057,Miền Bắc,Nam Định,25,50000,1250000,Không đúng đơn hàng,Đã xử lý
RET000076,ORD0059009,2024-08-15,8,CUS01335,EMP1101,PRD0048,Miền Nam,Tiền Giang,42,12000,504000,Hàng lỗi,Từ chối
RET000077,ORD0059416,2024-09-24,9,CUS00773,EMP1021,PRD0015,Miền Bắc,Thái Bình,48,9000,432000,Hàng hết hạn,Đã xử lý
RET000078,ORD0056019,2024-05-03,5,CUS00728,EMP1029,PRD0022,Miền Bắc,Nam Định,21,15000,315000,Hàng vỡ vận chuyển,Từ chối
RET000079,ORD0049529,2024-11-07,11,CUS01844,EMP1030,PRD0016,Miền Bắc,Quảng Ninh,2,40000,80000,Khách từ chối nhận,Đã xử lý
RET000080,ORD0053949,2024-12-06,12,CUS01527,EMP1095,PRD0086,Miền Nam,TP.HCM,22,18000,396000,Sai sản phẩm,Đã xử lý
RET000081,ORD0048444,2024-12-07,12,CUS00547,EMP1106,PRD0017,Miền Nam,Bình Dương,18,35000,630000,Sai sản phẩm,Đã xử lý
RET000082,ORD0022395,2024-05-06,5,CUS01301,EMP1004,PRD0062,Miền Bắc,Hải Phòng,30,20000,600000,Hàng hết hạn,Đã xử lý
RET000083,ORD0010067,2024-03-08,3,CUS01045,EMP1022,PRD0030,Miền Bắc,Hải Phòng,32,8500,272000,Hàng hết hạn,Đã xử lý
RET000084,ORD0020095,2024-07-13,7,CUS00516,EMP1016,PRD0083,Miền Bắc,Bắc Ninh,1,15000,15000,Hàng vỡ vận chuyển,Đã xử lý
RET000085,ORD0026857,2024-10-20,10,CUS00573,EMP1041,PRD0086,Miền Trung,Huế,6,18000,108000,Sai sản phẩm,Đã xử lý
RET000086,ORD0032074,2024-08-02,8,CUS01783,EMP1087,PRD0032,Miền Nam,Cần Thơ,1,18000,18000,Hàng vỡ vận chuyển,Đã xử lý
RET000087,ORD0025955,2024-08-31,8,CUS01247,EMP1087,PRD0062,Miền Nam,Đồng Nai,5,20000,100000,Không đúng đơn hàng,Đã xử lý
RET000088,ORD0035044,2024-04-07,4,CUS00472,EMP1053,PRD0002,Miền Nam,Đồng Nai,41,9000,369000,Hàng vỡ vận chuyển,Đã xử lý
RET000089,ORD0053529,2024-09-13,9,CUS00197,EMP1022,PRD0037,Miền Bắc,Thái Bình,3,15000,45000,Hàng hết hạn,Đã xử lý
RET000090,ORD0050808,2024-08-08,8,CUS00332,EMP1006,PRD0012,Miền Bắc,Nam Định,3,12000,36000,Hàng hết hạn,Đã xử lý
RET000091,ORD0054354,2024-12-31,12,CUS01140,EMP1039,PRD0071,Miền Trung,Khánh Hòa,29,12000,348000,Sai sản phẩm,Đã xử lý
RET000092,ORD0029610,2024-01-19,1,CUS01912,EMP1019,PRD0060,Miền Bắc,Bắc Ninh,33,20000,660000,Khách từ chối nhận,Đã xử lý
RET000093,ORD0056977,2024-03-26,3,CUS01139,EMP1007,PRD0038,Miền Bắc,Bắc Ninh,11,10000,110000,Sai sản phẩm,Đã xử lý
RET000094,ORD0035509,2024-07-28,7,CUS00573,EMP1041,PRD0090,Miền Trung,Huế,23,18000,414000,Sai sản phẩm,Đang xử lý
RET000095,ORD0028181,2024-09-26,9,CUS00341,EMP1037,PRD0057,Miền Trung,Bình Định,41,50000,2050000,Hàng hết hạn,Đã xử lý
RET000096,ORD0053725,2024-01-07,1,CUS00434,EMP1041,PRD0041,Miền Trung,Nghệ An,4,9000,36000,Khách từ chối nhận,Đã xử lý
RET000097,ORD0043981,2024-08-02,8,CUS00039,EMP1040,PRD0007,Miền Trung,Quảng Ngãi,36,50000,1800000,Không đúng đơn hàng,Đang xử lý
RET000098,ORD0031569,2024-06-12,6,CUS00804,EMP1038,PRD0042,Miền Trung,Quảng Ngãi,18,35000,630000,Sai sản phẩm,Đã xử lý
RET000099,ORD0050931,2024-03-10,3,CUS00127,EMP1030,PRD0071,Miền Bắc,Hà Nội,4,12000,48000,Không đúng đơn hàng,Đã xử lý
RET000100,ORD0022833,2024-01-29,1,CUS00101,EMP1047,PRD0008,Miền Trung,Quảng Ngãi,33,18000,594000,Hàng hết hạn,Đã xử lý
RET000101,ORD0044578,2024-12-31,12,CUS00603,EMP1018,PRD0091,Miền Bắc,Thái Bình,1,12000,12000,Hàng hết hạn,Đã xử lý
RET000102,ORD0033067,2024-03-24,3,CUS00573,EMP1041,PRD0068,Miền Trung,Huế,7,35000,245000,Hàng lỗi,Đang xử lý
RET000103,ORD0011084,2024-10-29,10,CUS01140,EMP1039,PRD0041,Miền Trung,Khánh Hòa,11,9000,99000,Sai sản phẩm,Đã xử lý
RET000104,ORD0024051,2024-09-05,9,CUS00381,EMP1032,PRD0062,Miền Bắc,Nam Định,7,20000,140000,Khách từ chối nhận,Đã xử lý
RET000105,ORD0056265,2024-11-16,11,CUS00666,EMP1008,PRD0078,Miền Bắc,Hưng Yên,12,10000,120000,Không đúng đơn hàng,Đã xử lý
RET000106,ORD0047298,2024-08-04,8,CUS01140,EMP1039,PRD0015,Miền Trung,Khánh Hòa,12,9000,108000,Khách từ chối nhận,Từ chối
RET000107,ORD0045643,2024-07-15,7,CUS00269,EMP1044,PRD0072,Miền Trung,Bình Định,39,35000,1365000,Hàng vỡ vận chuyển,Đã xử lý
RET000108,ORD0027212,2024-07-13,7,CUS00846,EMP1055,PRD0029,Miền Nam,Bình Dương,5,20000,100000,Hàng vỡ vận chuyển,Đã xử lý
RET000109,ORD0043876,2024-12-06,12,CUS00859,EMP1074,PRD0089,Miền Nam,Long An,7,35000,245000,Khách từ chối nhận,Đã xử lý
RET000110,ORD0053463,2024-05-26,5,CUS00510,EMP1085,PRD0078,Miền Nam,Cần Thơ,4,10000,40000,Hàng vỡ vận chuyển,Đã xử lý
RET000111,ORD0023702,2024-11-21,11,CUS00908,EMP1021,PRD0012,Miền Bắc,Hưng Yên,3,12000,36000,Hàng hết hạn,Đang xử lý
RET000112,ORD0042234,2024-05-27,5,CUS01986,EMP1035,PRD0015,Miền Trung,Đà Nẵng,12,9000,108000,Khách từ chối nhận,Đã xử lý
RET000113,ORD0030696,2024-12-31,12,CUS00564,EMP1050,PRD0004,Miền Trung,Huế,39,25000,975000,Hàng lỗi,Đã xử lý
RET000114,ORD0033280,2024-12-18,12,CUS01195,EMP1065,PRD0057,Miền Nam,Bình Dương,23,50000,1150000,Sai sản phẩm,Đã xử lý
RET000115,ORD0039616,2024-09-29,9,CUS01502,EMP1042,PRD0093,Miền Trung,Bình Định,16,40000,640000,Hàng lỗi,Đã xử lý
RET000116,ORD0019768,2024-12-25,12,CUS01846,EMP1040,PRD0093,Miền Trung,Đà Nẵng,32,40000,1280000,Sai sản phẩm,Đã xử lý
RET000117,ORD0051907,2024-12-26,12,CUS00840,EMP1038,PRD0078,Miền Trung,Bình Định,2,10000,20000,Không đúng đơn hàng,Đã xử lý
RET000118,ORD0058824,2024-11-16,11,CUS00169,EMP1036,PRD0076,Miền Trung,Nghệ An,46,9000,414000,Hàng vỡ vận chuyển,Đã xử lý
RET000119,ORD0027910,2024-02-18,2,CUS00513,EMP1040,PRD0100,Miền Trung,Khánh Hòa,37,10000,370000,Khách từ chối nhận,Đã xử lý
RET000120,ORD0058281,2024-04-25,4,CUS01337,EMP1030,PRD0019,Miền Bắc,Thái Bình,1,35000,35000,Không đúng đơn hàng,Đã xử lý
RET000121,ORD0031747,2024-05-12,5,CUS00282,EMP1083,PRD0063,Miền Nam,Tiền Giang,7,9000,63000,Không đúng đơn hàng,Đã xử lý
RET000122,ORD0034955,2024-01-12,1,CUS01308,EMP1059,PRD0076,Miền Nam,Tiền Giang,10,9000,90000,Hàng hết hạn,Đã xử lý
RET000123,ORD0015183,2024-07-02,7,CUS00961,EMP1033,PRD0054,Miền Bắc,Nam Định,11,10000,110000,Hàng vỡ vận chuyển,Đã xử lý
RET000124,ORD0057558,2024-08-01,8,CUS00152,EMP1014,PRD0100,Miền Bắc,Nam Định,4,10000,40000,Khách từ chối nhận,Đã xử lý
RET000125,ORD0044098,2024-10-24,10,CUS00219,EMP1099,PRD0031,Miền Nam,Tiền Giang,3,35000,105000,Không đúng đơn hàng,Đã xử lý
RET000126,ORD0027925,2024-02-27,2,CUS01480,EMP1085,PRD0057,Miền Nam,Tiền Giang,3,50000,150000,Hàng vỡ vận chuyển,Đã xử lý
RET000127,ORD0016915,2024-05-08,5,CUS00136,EMP1048,PRD0081,Miền Trung,Quảng Nam,33,30000,990000,Hàng lỗi,Đã xử lý
RET000128,ORD0026962,2024-04-08,4,CUS01541,EMP1010,PRD0007,Miền Bắc,Thái Bình,9,50000,450000,Hàng vỡ vận chuyển,Đã xử lý
RET000129,ORD0053334,2024-03-13,3,CUS01308,EMP1059,PRD0019,Miền Nam,Tiền Giang,9,35000,315000,Hàng lỗi,Đã xử lý
RET000130,ORD0022882,2024-12-31,12,CUS00307,EMP1038,PRD0093,Miền Trung,Nghệ An,8,40000,320000,Hàng vỡ vận chuyển,Đã xử lý
RET000131,ORD0011107,2024-12-31,12,CUS00394,EMP1092,PRD0027,Miền Nam,Cần Thơ,52,35000,1820000,Khách từ chối nhận,Đã xử lý
RET000132,ORD0037653,2024-06-30,6,CUS00500,EMP1042,PRD0019,Miền Trung,Đà Nẵng,22,35000,770000,Hàng hết hạn,Đã xử lý
RET000133,ORD0039255,2024-05-13,5,CUS00908,EMP1021,PRD0075,Miền Bắc,Hưng Yên,2,35000,70000,Hàng lỗi,Đã xử lý
RET000134,ORD0040097,2024-11-04,11,CUS00742,EMP1065,PRD0047,Miền Nam,Cần Thơ,38,20000,760000,Sai sản phẩm,Đã xử lý
RET000135,ORD0035775,2024-06-06,6,CUS00573,EMP1041,PRD0071,Miền Trung,Huế,5,12000,60000,Hàng hết hạn,Đã xử lý
RET000136,ORD0028530,2024-11-11,11,CUS00510,EMP1085,PRD0029,Miền Nam,Cần Thơ,5,20000,100000,Không đúng đơn hàng,Đã xử lý
RET000137,ORD0024098,2024-07-07,7,CUS00621,EMP1007,PRD0034,Miền Bắc,Thái Bình,4,8500,34000,Hàng lỗi,Đã xử lý
RET000138,ORD0010740,2024-07-24,7,CUS00828,EMP1091,PRD0086,Miền Nam,Vũng Tàu,24,18000,432000,Không đúng đơn hàng,Đã xử lý
RET000139,ORD0019999,2024-09-21,9,CUS01590,EMP1079,PRD0029,Miền Nam,TP.HCM,38,20000,760000,Sai sản phẩm,Đã xử lý
RET000140,ORD0029052,2024-04-05,4,CUS00439,EMP1081,PRD0084,Miền Nam,Tiền Giang,1,10000,10000,Hàng lỗi,Đã xử lý
RET000141,ORD0017923,2024-03-10,3,CUS00573,EMP1041,PRD0099,Miền Trung,Huế,8,25000,200000,Sai sản phẩm,Đã xử lý
RET000142,ORD0039108,2024-07-12,7,CUS01864,EMP1042,PRD0051,Miền Trung,Đà Nẵng,18,8500,153000,Hàng hết hạn,Đã xử lý
RET000143,ORD0011132,2024-06-04,6,CUS00427,EMP1051,PRD0091,Miền Trung,Quảng Ngãi,25,12000,300000,Khách từ chối nhận,Đã xử lý
RET000144,ORD0043921,2024-09-26,9,CUS01590,EMP1079,PRD0037,Miền Nam,TP.HCM,6,15000,90000,Hàng lỗi,Đã xử lý
RET000145,ORD0015958,2024-01-30,1,CUS00537,EMP1022,PRD0044,Miền Bắc,Bắc Ninh,16,25000,400000,Sai sản phẩm,Đã xử lý
RET000146,ORD0046548,2024-02-07,2,CUS01268,EMP1105,PRD0044,Miền Nam,Tiền Giang,3,25000,75000,Không đúng đơn hàng,Đã xử lý
RET000147,ORD0029009,2024-08-23,8,CUS00613,EMP1028,PRD0043,Miền Bắc,Quảng Ninh,8,40000,320000,Hàng hết hạn,Đã xử lý
RET000148,ORD0026765,2024-03-06,3,CUS01140,EMP1039,PRD0083,Miền Trung,Khánh Hòa,7,15000,105000,Hàng lỗi,Đã xử lý
RET000149,ORD0024213,2024-11-10,11,CUS00804,EMP1038,PRD0047,Miền Trung,Quảng Ngãi,2,20000,40000,Hàng vỡ vận chuyển,Đã xử lý
RET000150,ORD0011452,2024-12-31,12,CUS01980,EMP1050,PRD0004,Miền Trung,Quảng Ngãi,5,25000,125000,Sai sản phẩm,Đang xử lý
RET000151,ORD0050239,2024-05-09,5,CUS00562,EMP1051,PRD0093,Miền Trung,Bình Định,22,40000,880000,Hàng hết hạn,Đã xử lý
RET000152,ORD0018274,2024-02-21,2,CUS00075,EMP1070,PRD0057,Miền Nam,Tiền Giang,35,50000,1750000,Sai sản phẩm,Đang xử lý
RET000153,ORD0012001,2024-06-13,6,CUS00529,EMP1004,PRD0049,Miền Bắc,Nam Định,18,8500,153000,Khách từ chối nhận,Đã xử lý
RET000154,ORD0047372,2024-05-24,5,CUS00574,EMP1044,PRD0041,Miền Trung,Nghệ An,1,9000,9000,Hàng hết hạn,Đã xử lý
RET000155,ORD0043304,2024-12-31,12,CUS00875,EMP1047,PRD0026,Miền Trung,Bình Định,3,15000,45000,Hàng vỡ vận chuyển,Đã xử lý
RET000156,ORD0022359,2024-11-29,11,CUS01590,EMP1079,PRD0049,Miền Nam,TP.HCM,28,8500,238000,Không đúng đơn hàng,Đã xử lý
RET000157,ORD0030340,2024-05-15,5,CUS00573,EMP1041,PRD0041,Miền Trung,Huế,6,9000,54000,Hàng vỡ vận chuyển,Đã xử lý
RET000158,ORD0018776,2024-02-20,2,CUS00918,EMP1072,PRD0095,Miền Nam,TP.HCM,5,10000,50000,Sai sản phẩm,Đã xử lý
RET000159,ORD0050523,2024-02-02,2,CUS01877,EMP1079,PRD0032,Miền Nam,Bình Dương,28,18000,504000,Khách từ chối nhận,Đang xử lý
RET000160,ORD0042254,2024-12-31,12,CUS00268,EMP1009,PRD0032,Miền Bắc,Hải Dương,1,18000,18000,Hàng lỗi,Đã xử lý
RET000161,ORD0034148,2024-11-27,11,CUS01825,EMP1090,PRD0056,Miền Nam,Đồng Nai,6,10000,60000,Hàng hết hạn,Đang xử lý
RET000162,ORD0057033,2024-06-22,6,CUS01590,EMP1079,PRD0088,Miền Nam,TP.HCM,23,50000,1150000,Hàng vỡ vận chuyển,Từ chối
RET000163,ORD0044502,2024-03-17,3,CUS01333,EMP1025,PRD0068,Miền Bắc,Hà Nội,24,35000,840000,Sai sản phẩm,Đã xử lý
RET000164,ORD0015974,2024-04-22,4,CUS01091,EMP1010,PRD0075,Miền Bắc,Hải Dương,16,35000,560000,Hàng lỗi,Từ chối
RET000165,ORD0021224,2024-09-02,9,CUS01647,EMP1049,PRD0070,Miền Trung,Quảng Ngãi,32,35000,1120000,Sai sản phẩm,Đang xử lý
RET000166,ORD0044292,2024-02-11,2,CUS00056,EMP1105,PRD0079,Miền Nam,Vũng Tàu,39,25000,975000,Sai sản phẩm,Đang xử lý
RET000167,ORD0024571,2024-10-26,10,CUS00573,EMP1041,PRD0091,Miền Trung,Huế,43,12000,516000,Hàng hết hạn,Đã xử lý
RET000168,ORD0019808,2024-05-26,5,CUS01778,EMP1008,PRD0046,Miền Bắc,Nam Định,38,35000,1330000,Hàng hết hạn,Từ chối
RET000169,ORD0016605,2024-12-09,12,CUS01006,EMP1032,PRD0046,Miền Bắc,Thái Bình,6,35000,210000,Hàng vỡ vận chuyển,Đã xử lý
RET000170,ORD0017107,2024-08-20,8,CUS00573,EMP1041,PRD0037,Miền Trung,Huế,26,15000,390000,Hàng lỗi,Đã xử lý
RET000171,ORD0040318,2024-07-06,7,CUS01552,EMP1085,PRD0029,Miền Nam,Tiền Giang,1,20000,20000,Hàng hết hạn,Đã xử lý
RET000172,ORD0012206,2024-11-28,11,CUS00728,EMP1029,PRD0016,Miền Bắc,Nam Định,11,40000,440000,Hàng lỗi,Đã xử lý
